categoria,new_category
utilidades_domesticas,utilidades_domesticas
telefonia,telefonia
telefonia_fixa,telefonia
seguros_e_servicos,seguros_e_servicos
relogios_presentes,relogios_presentes
pet_shop,pet_shop
perfumaria,perfumaria
informatica_acessorios,pcs-tablets
pc_gamer,pcs-tablets
pcs,pcs-tablets
tablets_impressao_imagem,pcs-tablets
papelaria,papelaria
artigos_de_festas,others
cine_foto,others
flores,others
fraldas_higiene,others
la_cuisine,others
musica,others
portateis_casa_forno_e_cafe,others
portateis_cozinha_e_preparadores_de_alimentos,others
sinalizacao_e_seguranca,others
moveis_colchao_e_estofado,moveis
moveis_cozinha_area_de_servico_jantar_e_jardim,moveis
moveis_decoracao,moveis
moveis_escritorio,moveis
moveis_quarto,moveis
moveis_sala,moveis
market_place,market_place
malas_acessorios,malas_acessorios
livros_importados,livros
livros_interesse_geral,livros
livros_tecnicos,livros
instrumentos_musicais,instrumentos_musicais
industria_comercio_e_negocios,industria_comercio_e_negocios
ferramentas_jardim,ferramentas_jardim
fashion_bolsas_e_acessorios,fashion
fashion_calcados,fashion
fashion_esporte,fashion
fashion_roupa_feminina,fashion
fashion_roupa_infanto_juvenil,fashion
fashion_roupa_masculina,fashion
fashion_underwear_e_moda_praia,fashion
esporte_lazer,esporte_lazer
eletroportateis,eletroportateis
eletronicos,eletronicos
eletrodomesticos,eletrodomesticos
eletrodomesticos_2,eletrodomesticos
cool_stuff,cool_stuff
casa_construcao,construcao
construcao_ferramentas_construcao,construcao
construcao_ferramentas_ferramentas,construcao
construcao_ferramentas_iluminacao,construcao
construcao_ferramentas_jardim,construcao
construcao_ferramentas_seguranca,construcao
consoles_games,consoles_games
climatizacao,climatizacao
cds_dvds_musicais,cd-dvd
dvds_blu_ray,cd-dvd
casa_conforto,casa
casa_conforto_2,casa
cama_mesa_banho,cama_mesa_banho
brinquedos,brinquedos
beleza_saude,beleza_saude
bebidas,bebidas
artigos_de_natal,bebes
bebes,bebes
automotivo,automotivo
audio,audio
artes,artes
artes_e_artesanato,artes
alimentos,alimentos
alimentos_bebidas,alimentos
agro_industria_e_comercio,agro_industria_e_comercio
